id,value
CloudVio,
CloudVio.Marketing,
CloudVio.Research,
CloudVio.Planning,601
CloudVio.Machinery,450
CloudVio.Cloudvio Research,1651
CloudVio.Engineering,
CloudVio.Marketing.Technical Research Center/,1491
CloudVio.Marketing.Management Division,1376
CloudVio.Marketing.Network Business Division,48
CloudVio.Marketing.Marketing Business Dept,114
CloudVio.Research.Production Team,4780
CloudVio.Research.General Affairs Dept,423
CloudVio.Research.Accounting Dept,258
CloudVio.Research.Department of System Integration,157
CloudVio.Engineering.Engineering Head,64
CloudVio.Engineering.e-Business Dept,773
CloudVio.Engineering.Management Support Team,717
CloudVio.Engineering.Management Team,378
CloudVio.Engineering.Customer Management Team,129
CloudVio.Engineering.Research & Development Team,4376
CloudVio.Engineering.Administration Team,39
CloudVio.Engineering.Management Improving Team,161
CloudVio.Engineering.Technical Support Team,684